Country,Code,Year,CO2,rshare
Australia,AUS,2009,18.4508,7.8
Australia,AUS,2010,18.2595,8.917
Australia,AUS,2011,17.9849,11.093
Australia,AUS,2012,17.5806,11.068
Australia,AUS,2013,16.907,13.859
Australia,AUS,2014,16.9201,15.288
Australia,AUS,2015,16.8507,13.966
Australia,AUS,2016,17.1434,15.174
Australia,AUS,2017,16.8704,16.357
Australia,AUS,2018,16.7081,17.896
Australia,AUS,2019,16.447,20.531
Australia,AUS,2020,15.3684,24.523
Australia,AUS,2021,0,29.722
United States,USA,2009,17.8847,10.492
United States,USA,2010,18.3676,10.261
United States,USA,2011,17.7807,12.406
United States,USA,2012,16.9998,12.125
United States,USA,2013,17.3017,12.767
United States,USA,2014,17.3306,13.283
United States,USA,2015,16.7408,13.558
United States,USA,2016,16.2469,15.219
United States,USA,2017,16.0197,17.388
United States,USA,2018,16.434,17.397
United States,USA,2019,15.972,18.247
United States,USA,2020,14.2379,20.272
United States,USA,2021,0,20.935
Germany,DEU,2009,9.7688,16.29
Germany,DEU,2010,10.3053,16.838
Germany,DEU,2011,10.0082,20.497
Germany,DEU,2012,10.0526,23.056
Germany,DEU,2013,10.2428,24.137
Germany,DEU,2014,9.7309,26.218
Germany,DEU,2015,9.7278,29.472
Germany,DEU,2016,9.7415,29.499
Germany,DEU,2017,9.5076,33.486
Germany,DEU,2018,9.0721,35.098
Germany,DEU,2019,8.5184,40.089
Germany,DEU,2020,7.6901,44.312
Germany,DEU,2021,0,40.649
Singapore,SGP,2009,18.1407,0
Singapore,SGP,2010,11.0345,0
Singapore,SGP,2011,5.7511,0.023
Singapore,SGP,2012,8.9664,0.023
Singapore,SGP,2013,9.9687,0.354
Singapore,SGP,2014,9.9915,0.602
Singapore,SGP,2015,11.1103,0.863
Singapore,SGP,2016,7.1237,1.068
Singapore,SGP,2017,6.844,1.114
Singapore,SGP,2018,7.9898,1.318
Singapore,SGP,2019,7.8743,1.618
Singapore,SGP,2020,7.778,2.048
Singapore,SGP,2021,0,2.132
France,FRA,2009,5.8941,13.124
France,FRA,2010,5.9888,13.855
France,FRA,2011,5.5951,11.636
France,FRA,2012,5.5996,15.033
France,FRA,2013,5.5958,17.247
France,FRA,2014,5.0766,16.607
France,FRA,2015,5.1186,16.002
France,FRA,2016,5.1584,17.721
France,FRA,2017,5.1971,16.658
France,FRA,2018,4.9603,19.727
France,FRA,2019,4.8508,20.007
France,FRA,2020,4.2381,23.676
France,FRA,2021,0,21.955
Canada,CAN,2009,16.1977,64.009
Canada,CAN,2010,16.3644,63.04
Canada,CAN,2011,16.4993,64.139
Canada,CAN,2012,16.301,65.191
Canada,CAN,2013,16.2537,65.587
Canada,CAN,2014,15.9981,65.139
Canada,CAN,2015,15.9066,65.282
Canada,CAN,2016,15.3799,66.147
Canada,CAN,2017,15.5004,66.953
Canada,CAN,2018,15.6299,67.312
Canada,CAN,2019,15.5673,67.004
Canada,CAN,2020,14.1969,68.808
Canada,CAN,2021,0,68.889
World,OWID_WRL,2009,4.5987,19.912
World,OWID_WRL,2010,4.7927,20.086
World,OWID_WRL,2011,4.895,20.37
World,OWID_WRL,2012,4.9079,21.391
World,OWID_WRL,2013,4.893,22.152
World,OWID_WRL,2014,4.8707,22.786
World,OWID_WRL,2015,4.8097,23.431
World,OWID_WRL,2016,4.7496,24.256
World,OWID_WRL,2017,4.7595,25.076
World,OWID_WRL,2018,4.8022,25.763
World,OWID_WRL,2019,4.7582,26.711
World,OWID_WRL,2020,4.4654,28.522
World,OWID_WRL,2021,0,28.317